areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-02-25,7721
K02000001,United Kingdom,overview,2021-02-24,8544
K02000001,United Kingdom,overview,2021-02-23,9380
K02000001,United Kingdom,overview,2021-02-22,11240
K02000001,United Kingdom,overview,2021-02-21,7868
K02000001,United Kingdom,overview,2021-02-20,8053
K02000001,United Kingdom,overview,2021-02-19,10384
K02000001,United Kingdom,overview,2021-02-18,11411
K02000001,United Kingdom,overview,2021-02-17,11561
K02000001,United Kingdom,overview,2021-02-16,12483
K02000001,United Kingdom,overview,2021-02-15,14267
K02000001,United Kingdom,overview,2021-02-14,8753
K02000001,United Kingdom,overview,2021-02-13,8758
K02000001,United Kingdom,overview,2021-02-12,12162
K02000001,United Kingdom,overview,2021-02-11,12737
K02000001,United Kingdom,overview,2021-02-10,13480
K02000001,United Kingdom,overview,2021-02-09,13796
K02000001,United Kingdom,overview,2021-02-08,15704
K02000001,United Kingdom,overview,2021-02-07,11373
K02000001,United Kingdom,overview,2021-02-06,11957
K02000001,United Kingdom,overview,2021-02-05,15844
K02000001,United Kingdom,overview,2021-02-04,17955
K02000001,United Kingdom,overview,2021-02-03,19393
K02000001,United Kingdom,overview,2021-02-02,19752
K02000001,United Kingdom,overview,2021-02-01,22326
K02000001,United Kingdom,overview,2021-01-31,15365
K02000001,United Kingdom,overview,2021-01-30,16665
K02000001,United Kingdom,overview,2021-01-29,21767
K02000001,United Kingdom,overview,2021-01-28,24131
K02000001,United Kingdom,overview,2021-01-27,25669
K02000001,United Kingdom,overview,2021-01-26,26964
K02000001,United Kingdom,overview,2021-01-25,29897
K02000001,United Kingdom,overview,2021-01-24,17151
K02000001,United Kingdom,overview,2021-01-23,21818
K02000001,United Kingdom,overview,2021-01-22,29516
K02000001,United Kingdom,overview,2021-01-21,31648
K02000001,United Kingdom,overview,2021-01-20,35064
K02000001,United Kingdom,overview,2021-01-19,39454
K02000001,United Kingdom,overview,2021-01-18,44755
K02000001,United Kingdom,overview,2021-01-17,28836
K02000001,United Kingdom,overview,2021-01-16,30518
K02000001,United Kingdom,overview,2021-01-15,40374
K02000001,United Kingdom,overview,2021-01-14,42374
K02000001,United Kingdom,overview,2021-01-13,45389
K02000001,United Kingdom,overview,2021-01-12,49365
K02000001,United Kingdom,overview,2021-01-11,57093
K02000001,United Kingdom,overview,2021-01-10,36330
K02000001,United Kingdom,overview,2021-01-09,39081
K02000001,United Kingdom,overview,2021-01-08,46975
K02000001,United Kingdom,overview,2021-01-07,51949
K02000001,United Kingdom,overview,2021-01-06,57374
K02000001,United Kingdom,overview,2021-01-05,65078
K02000001,United Kingdom,overview,2021-01-04,76146
K02000001,United Kingdom,overview,2021-01-03,55162
K02000001,United Kingdom,overview,2021-01-02,60421
K02000001,United Kingdom,overview,2021-01-01,31831
K02000001,United Kingdom,overview,2020-12-31,52781
K02000001,United Kingdom,overview,2020-12-30,70746
K02000001,United Kingdom,overview,2020-12-29,81483
K02000001,United Kingdom,overview,2020-12-28,45573
K02000001,United Kingdom,overview,2020-12-27,47689
K02000001,United Kingdom,overview,2020-12-26,40365
K02000001,United Kingdom,overview,2020-12-25,14170
K02000001,United Kingdom,overview,2020-12-24,31799
K02000001,United Kingdom,overview,2020-12-23,42161
K02000001,United Kingdom,overview,2020-12-22,45650
K02000001,United Kingdom,overview,2020-12-21,47360
K02000001,United Kingdom,overview,2020-12-20,32441
K02000001,United Kingdom,overview,2020-12-19,25141
K02000001,United Kingdom,overview,2020-12-18,35829
K02000001,United Kingdom,overview,2020-12-17,33892
K02000001,United Kingdom,overview,2020-12-16,34902
K02000001,United Kingdom,overview,2020-12-15,33832
K02000001,United Kingdom,overview,2020-12-14,34697
K02000001,United Kingdom,overview,2020-12-13,21980
K02000001,United Kingdom,overview,2020-12-12,19350
K02000001,United Kingdom,overview,2020-12-11,24048
K02000001,United Kingdom,overview,2020-12-10,22599
K02000001,United Kingdom,overview,2020-12-09,21602
K02000001,United Kingdom,overview,2020-12-08,20775
K02000001,United Kingdom,overview,2020-12-07,21317
K02000001,United Kingdom,overview,2020-12-06,13573
K02000001,United Kingdom,overview,2020-12-05,12730
K02000001,United Kingdom,overview,2020-12-04,15656
K02000001,United Kingdom,overview,2020-12-03,15625
K02000001,United Kingdom,overview,2020-12-02,16475
K02000001,United Kingdom,overview,2020-12-01,16445
K02000001,United Kingdom,overview,2020-11-30,18002
K02000001,United Kingdom,overview,2020-11-29,10679
K02000001,United Kingdom,overview,2020-11-28,10959
K02000001,United Kingdom,overview,2020-11-27,14367
K02000001,United Kingdom,overview,2020-11-26,14565
K02000001,United Kingdom,overview,2020-11-25,16609
K02000001,United Kingdom,overview,2020-11-24,16450
K02000001,United Kingdom,overview,2020-11-23,18766
K02000001,United Kingdom,overview,2020-11-22,11731
K02000001,United Kingdom,overview,2020-11-21,12348
K02000001,United Kingdom,overview,2020-11-20,16842
K02000001,United Kingdom,overview,2020-11-19,17744
K02000001,United Kingdom,overview,2020-11-18,20745
K02000001,United Kingdom,overview,2020-11-17,23156
K02000001,United Kingdom,overview,2020-11-16,26569
K02000001,United Kingdom,overview,2020-11-15,16019
K02000001,United Kingdom,overview,2020-11-14,17987
K02000001,United Kingdom,overview,2020-11-13,24025
K02000001,United Kingdom,overview,2020-11-12,24459
K02000001,United Kingdom,overview,2020-11-11,27346
K02000001,United Kingdom,overview,2020-11-10,27408
K02000001,United Kingdom,overview,2020-11-09,31041
K02000001,United Kingdom,overview,2020-11-08,19953
K02000001,United Kingdom,overview,2020-11-07,18513
K02000001,United Kingdom,overview,2020-11-06,23321
K02000001,United Kingdom,overview,2020-11-05,23732
K02000001,United Kingdom,overview,2020-11-04,23670
K02000001,United Kingdom,overview,2020-11-03,25576
K02000001,United Kingdom,overview,2020-11-02,31504
K02000001,United Kingdom,overview,2020-11-01,15749
K02000001,United Kingdom,overview,2020-10-31,16478
K02000001,United Kingdom,overview,2020-10-30,22648
K02000001,United Kingdom,overview,2020-10-29,23330
K02000001,United Kingdom,overview,2020-10-28,23603
K02000001,United Kingdom,overview,2020-10-27,24077
K02000001,United Kingdom,overview,2020-10-26,26537
K02000001,United Kingdom,overview,2020-10-25,15716
K02000001,United Kingdom,overview,2020-10-24,16221
K02000001,United Kingdom,overview,2020-10-23,21450
K02000001,United Kingdom,overview,2020-10-22,23221
K02000001,United Kingdom,overview,2020-10-21,25418
K02000001,United Kingdom,overview,2020-10-20,25304
K02000001,United Kingdom,overview,2020-10-19,25599
K02000001,United Kingdom,overview,2020-10-18,14184
K02000001,United Kingdom,overview,2020-10-17,14748
K02000001,United Kingdom,overview,2020-10-16,17703
K02000001,United Kingdom,overview,2020-10-15,18416
K02000001,United Kingdom,overview,2020-10-14,19687
K02000001,United Kingdom,overview,2020-10-13,18877
K02000001,United Kingdom,overview,2020-10-12,19416
