COUNTRY,Country,INDICATOR,Indicator,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ESP,Spain,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,260757.956,,
ESP,Spain,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,274641.963,,
ESP,Spain,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,269713.437,,
ESP,Spain,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,251498.499,,
SWE,Sweden,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,43262.009,,
SWE,Sweden,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,42593.728,,
SWE,Sweden,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,42095.408,,
SWE,Sweden,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,40936.867,,
CHE,Switzerland,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,39192.544,,
CHE,Switzerland,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,38182.513,,
CHE,Switzerland,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,36867.631,,
CHE,Switzerland,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,36741.865,,
GBR,United Kingdom,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,400052.087,,
GBR,United Kingdom,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,388282.694,,
GBR,United Kingdom,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,382603.64,,
GBR,United Kingdom,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,369729.951,,
