variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Norway,2014,82.2,,
Total population at birth,Years,Norway,2015,82.4,,
Total population at birth,Years,Norway,2016,82.5,,
Total population at birth,Years,Norway,2017,82.7,,
Total population at birth,Years,Norway,2018,82.8,,
Total population at birth,Years,Norway,2019,83,,
Total population at birth,Years,Norway,2020,83.3,,
Total population at birth,Years,Poland,1960,67.8,,
Total population at birth,Years,Poland,1961,67.8,,
Total population at birth,Years,Poland,1962,67.5,,
Total population at birth,Years,Poland,1963,68.5,,
Total population at birth,Years,Poland,1964,68.7,,
Total population at birth,Years,Poland,1965,69.5,,
Total population at birth,Years,Poland,1966,69.9,,
Total population at birth,Years,Poland,1967,69.5,,
Total population at birth,Years,Poland,1968,70.3,,
Total population at birth,Years,Poland,1969,69.8,,
Total population at birth,Years,Poland,1970,70,,
Total population at birth,Years,Poland,1971,69.7,,
Total population at birth,Years,Poland,1972,70.7,,
Total population at birth,Years,Poland,1973,70.7,,
Total population at birth,Years,Poland,1974,71.2,,
Total population at birth,Years,Poland,1975,70.6,,
Total population at birth,Years,Poland,1976,70.7,,
Total population at birth,Years,Poland,1977,70.5,,
Total population at birth,Years,Poland,1978,70.4,,
Total population at birth,Years,Poland,1979,70.9,,
Total population at birth,Years,Poland,1980,70.2,,
Total population at birth,Years,Poland,1981,71.2,,
Total population at birth,Years,Poland,1982,71.2,,
Total population at birth,Years,Poland,1983,71.1,,
Total population at birth,Years,Poland,1984,70.9,,
Total population at birth,Years,Poland,1985,71.1,,
Total population at birth,Years,Poland,1986,71,,
Total population at birth,Years,Poland,1987,71.5,,
Total population at birth,Years,Poland,1988,71.5,,
Total population at birth,Years,Poland,1989,71.2,,
Total population at birth,Years,Poland,1990,70.8,,
Total population at birth,Years,Poland,1991,70.5,,
Total population at birth,Years,Poland,1992,71.1,,
Total population at birth,Years,Poland,1993,71.6,,
Total population at birth,Years,Poland,1994,71.8,,
Total population at birth,Years,Poland,1995,72.1,,
Total population at birth,Years,Poland,1996,72.4,,
Total population at birth,Years,Poland,1997,72.8,,
Total population at birth,Years,Poland,1998,73.2,,
Total population at birth,Years,Poland,1999,73.2,,
Total population at birth,Years,Poland,2000,73.8,B,Break
Total population at birth,Years,Poland,2001,74.2,,
Total population at birth,Years,Poland,2002,74.6,,
Total population at birth,Years,Poland,2003,74.7,,
Total population at birth,Years,Poland,2004,74.9,,
Total population at birth,Years,Poland,2005,75.1,,
Total population at birth,Years,Poland,2006,75.3,,
Total population at birth,Years,Poland,2007,75.4,,
Total population at birth,Years,Poland,2008,75.7,,
Total population at birth,Years,Poland,2009,75.8,B,Break
Total population at birth,Years,Poland,2010,76.5,,
Total population at birth,Years,Poland,2011,76.8,,
Total population at birth,Years,Poland,2012,76.9,,
Total population at birth,Years,Poland,2013,77.1,,
Total population at birth,Years,Poland,2014,77.7,,
Total population at birth,Years,Poland,2015,77.6,,
Total population at birth,Years,Poland,2016,78,,
Total population at birth,Years,Poland,2017,77.9,,
Total population at birth,Years,Poland,2018,77.7,,
Total population at birth,Years,Poland,2019,78,,
Total population at birth,Years,Poland,2020,76.7,,
Total population at birth,Years,Portugal,1960,63.9,,
Total population at birth,Years,Portugal,1961,62.7,,
Total population at birth,Years,Portugal,1962,64.1,,
Total population at birth,Years,Portugal,1963,64.7,,
Total population at birth,Years,Portugal,1964,64.9,,
Total population at birth,Years,Portugal,1965,65.8,,
Total population at birth,Years,Portugal,1966,65.2,,
Total population at birth,Years,Portugal,1967,66,,
Total population at birth,Years,Portugal,1968,66.4,,
Total population at birth,Years,Portugal,1969,65.9,,
Total population at birth,Years,Portugal,1970,66.7,,
Total population at birth,Years,Portugal,1971,66.4,,
Total population at birth,Years,Portugal,1972,68.4,,
Total population at birth,Years,Portugal,1973,67.5,,
Total population at birth,Years,Portugal,1974,68.1,,
Total population at birth,Years,Portugal,1975,68.4,,
Total population at birth,Years,Portugal,1976,69,,
Total population at birth,Years,Portugal,1977,70.1,,
Total population at birth,Years,Portugal,1978,70.5,,
Total population at birth,Years,Portugal,1979,71.3,,
Total population at birth,Years,Portugal,1980,71.4,,
Total population at birth,Years,Portugal,1981,71.7,,
Total population at birth,Years,Portugal,1982,72.5,,
Total population at birth,Years,Portugal,1983,72.4,,
Total population at birth,Years,Portugal,1984,72.7,,
Total population at birth,Years,Portugal,1985,73,,
Total population at birth,Years,Portugal,1986,73.4,,
Total population at birth,Years,Portugal,1987,73.8,,
Total population at birth,Years,Portugal,1988,73.8,,
Total population at birth,Years,Portugal,1989,74.4,,
Total population at birth,Years,Portugal,1990,74.1,,
Total population at birth,Years,Portugal,1991,74.1,,
Total population at birth,Years,Portugal,1992,74.7,,
Total population at birth,Years,Portugal,1993,74.6,,
Total population at birth,Years,Portugal,1994,75.5,,
Total population at birth,Years,Portugal,1995,75.4,,
Total population at birth,Years,Portugal,1996,75.3,,
Total population at birth,Years,Portugal,1997,75.8,,
Total population at birth,Years,Portugal,1998,76,,
Total population at birth,Years,Portugal,1999,76.3,,
Total population at birth,Years,Portugal,2000,76.9,,
Total population at birth,Years,Portugal,2001,77.2,,
Total population at birth,Years,Portugal,2002,77.4,,
Total population at birth,Years,Portugal,2003,77.5,,
Total population at birth,Years,Portugal,2004,78.4,,
Total population at birth,Years,Portugal,2005,78.2,,
Total population at birth,Years,Portugal,2006,79,,
Total population at birth,Years,Portugal,2007,79.2,,
Total population at birth,Years,Portugal,2008,79.5,,
Total population at birth,Years,Portugal,2009,79.7,,
Total population at birth,Years,Portugal,2010,80,,
Total population at birth,Years,Portugal,2011,80.6,,
Total population at birth,Years,Portugal,2012,80.5,,
Total population at birth,Years,Portugal,2013,80.8,,
Total population at birth,Years,Portugal,2014,81.2,,
Total population at birth,Years,Portugal,2015,81.2,,
Total population at birth,Years,Portugal,2016,81.2,,
Total population at birth,Years,Portugal,2017,81.5,,
Total population at birth,Years,Portugal,2018,81.4,,
Total population at birth,Years,Portugal,2019,81.8,,
Total population at birth,Years,Portugal,2020,81.1,,
Total population at birth,Years,Slovak Republic,1960,70.3,,
Total population at birth,Years,Slovak Republic,1961,70.9,,
Total population at birth,Years,Slovak Republic,1962,70.4,,
Total population at birth,Years,Slovak Republic,1963,70.8,,
Total population at birth,Years,Slovak Republic,1964,71.2,,
Total population at birth,Years,Slovak Republic,1965,70.4,,
Total population at birth,Years,Slovak Republic,1966,70.6,,
Total population at birth,Years,Slovak Republic,1967,71.2,,
Total population at birth,Years,Slovak Republic,1968,70.7,,
Total population at birth,Years,Slovak Republic,1969,70.1,,
Total population at birth,Years,Slovak Republic,1970,70,,
Total population at birth,Years,Slovak Republic,1971,70,,
Total population at birth,Years,Slovak Republic,1972,70.5,,
Total population at birth,Years,Slovak Republic,1973,70.1,,
Total population at birth,Years,Slovak Republic,1974,70.3,,
Total population at birth,Years,Slovak Republic,1975,70.5,,
Total population at birth,Years,Slovak Republic,1976,70.6,,
Total population at birth,Years,Slovak Republic,1977,70.6,,
Total population at birth,Years,Slovak Republic,1978,70.6,,
Total population at birth,Years,Slovak Republic,1979,70.9,,
Total population at birth,Years,Slovak Republic,1980,70.6,,
Total population at birth,Years,Slovak Republic,1981,70.9,,
Total population at birth,Years,Slovak Republic,1982,71,,
Total population at birth,Years,Slovak Republic,1983,70.7,,
Total population at birth,Years,Slovak Republic,1984,71,,
Total population at birth,Years,Slovak Republic,1985,71,,
Total population at birth,Years,Slovak Republic,1986,71.2,,
Total population at birth,Years,Slovak Republic,1987,71.4,,
Total population at birth,Years,Slovak Republic,1988,71.5,,
Total population at birth,Years,Slovak Republic,1989,71.3,,
Total population at birth,Years,Slovak Republic,1990,71.2,,
Total population at birth,Years,Slovak Republic,1991,71.2,,
Total population at birth,Years,Slovak Republic,1992,71.6,,
Total population at birth,Years,Slovak Republic,1993,72.1,,
Total population at birth,Years,Slovak Republic,1994,72.5,,
Total population at birth,Years,Slovak Republic,1995,72.5,,
Total population at birth,Years,Slovak Republic,1996,72.9,,
Total population at birth,Years,Slovak Republic,1997,72.9,,
Total population at birth,Years,Slovak Republic,1998,72.8,,
Total population at birth,Years,Slovak Republic,1999,73.2,,
Total population at birth,Years,Slovak Republic,2000,73.4,,
Total population at birth,Years,Slovak Republic,2001,73.6,,
Total population at birth,Years,Slovak Republic,2002,73.8,,
Total population at birth,Years,Slovak Republic,2003,73.8,,
Total population at birth,Years,Slovak Republic,2004,74.2,,
Total population at birth,Years,Slovak Republic,2005,74.2,,
Total population at birth,Years,Slovak Republic,2006,74.4,,
Total population at birth,Years,Slovak Republic,2007,74.5,,
Total population at birth,Years,Slovak Republic,2008,75,,
Total population at birth,Years,Slovak Republic,2009,75.3,,
Total population at birth,Years,Slovak Republic,2010,75.6,,
Total population at birth,Years,Slovak Republic,2011,76.1,,
Total population at birth,Years,Slovak Republic,2012,76.2,,
Total population at birth,Years,Slovak Republic,2013,76.5,,
Total population at birth,Years,Slovak Republic,2014,76.9,,
Total population at birth,Years,Slovak Republic,2015,76.7,,
Total population at birth,Years,Slovak Republic,2016,77.3,,
Total population at birth,Years,Slovak Republic,2017,77.3,,
Total population at birth,Years,Slovak Republic,2018,77.4,,
Total population at birth,Years,Slovak Republic,2019,77.8,,
Total population at birth,Years,Slovak Republic,2020,77,,
Total population at birth,Years,Spain,1960,69.8,,
Total population at birth,Years,Spain,1970,72,,
Total population at birth,Years,Spain,1975,73.4,,
Total population at birth,Years,Spain,1976,73.7,,
Total population at birth,Years,Spain,1977,74.2,,
Total population at birth,Years,Spain,1978,74.4,,
Total population at birth,Years,Spain,1979,74.9,,
Total population at birth,Years,Spain,1980,75.4,,
Total population at birth,Years,Spain,1981,75.7,,
Total population at birth,Years,Spain,1982,76.3,,
Total population at birth,Years,Spain,1983,76,,
Total population at birth,Years,Spain,1984,76.4,,
Total population at birth,Years,Spain,1985,76.4,,
Total population at birth,Years,Spain,1986,76.7,,
Total population at birth,Years,Spain,1987,76.9,,
Total population at birth,Years,Spain,1988,76.9,,
Total population at birth,Years,Spain,1989,77,,
Total population at birth,Years,Spain,1990,77,,
Total population at birth,Years,Spain,1991,77.1,,
Total population at birth,Years,Spain,1992,77.6,,
Total population at birth,Years,Spain,1993,77.7,,
Total population at birth,Years,Spain,1994,78.1,,
Total population at birth,Years,Spain,1995,78.1,,
Total population at birth,Years,Spain,1996,78.3,,
Total population at birth,Years,Spain,1997,78.8,,
Total population at birth,Years,Spain,1998,78.9,,
Total population at birth,Years,Spain,1999,78.8,,
Total population at birth,Years,Spain,2000,79.3,,
Total population at birth,Years,Spain,2001,79.8,,
Total population at birth,Years,Spain,2002,79.9,,
Total population at birth,Years,Spain,2003,79.7,,
Total population at birth,Years,Spain,2004,80.4,,
Total population at birth,Years,Spain,2005,80.3,,
Total population at birth,Years,Spain,2006,81.1,,
Total population at birth,Years,Spain,2007,81.2,,
Total population at birth,Years,Spain,2008,81.5,,
Total population at birth,Years,Spain,2009,81.9,,
Total population at birth,Years,Spain,2010,82.4,,
Total population at birth,Years,Spain,2011,82.6,,
Total population at birth,Years,Spain,2012,82.5,,
Total population at birth,Years,Spain,2013,83.2,,
Total population at birth,Years,Spain,2014,83.3,,
Total population at birth,Years,Spain,2015,82.9,,
Total population at birth,Years,Spain,2016,83.4,,
Total population at birth,Years,Spain,2017,83.4,,
Total population at birth,Years,Spain,2018,83.5,,
Total population at birth,Years,Spain,2019,83.9,,
Total population at birth,Years,Spain,2020,82.4,,
Total population at birth,Years,Sweden,1960,73.1,,
Total population at birth,Years,Sweden,1961,73.5,,
Total population at birth,Years,Sweden,1962,73.4,,
Total population at birth,Years,Sweden,1963,73.6,,
Total population at birth,Years,Sweden,1964,73.8,,
Total population at birth,Years,Sweden,1965,73.9,,
Total population at birth,Years,Sweden,1966,74.2,,
Total population at birth,Years,Sweden,1967,74.2,,
Total population at birth,Years,Sweden,1968,74.1,,
Total population at birth,Years,Sweden,1969,74.2,,
Total population at birth,Years,Sweden,1970,74.8,,
Total population at birth,Years,Sweden,1971,74.8,,
Total population at birth,Years,Sweden,1972,74.8,,
Total population at birth,Years,Sweden,1973,75,,
Total population at birth,Years,Sweden,1974,75.1,,
Total population at birth,Years,Sweden,1975,75.2,,
Total population at birth,Years,Sweden,1976,75.1,,
Total population at birth,Years,Sweden,1977,75.6,,
Total population at birth,Years,Sweden,1978,75.7,,
Total population at birth,Years,Sweden,1979,75.7,,
Total population at birth,Years,Sweden,1980,75.9,,
Total population at birth,Years,Sweden,1981,76.2,,
Total population at birth,Years,Sweden,1982,76.5,,
Total population at birth,Years,Sweden,1983,76.7,,
Total population at birth,Years,Sweden,1984,77,,
Total population at birth,Years,Sweden,1985,76.8,,
Total population at birth,Years,Sweden,1986,77.1,,
Total population at birth,Years,Sweden,1987,77.3,,
Total population at birth,Years,Sweden,1988,77.1,,
Total population at birth,Years,Sweden,1989,77.8,,
Total population at birth,Years,Sweden,1990,77.7,,
Total population at birth,Years,Sweden,1991,77.9,,
Total population at birth,Years,Sweden,1992,78.2,,
Total population at birth,Years,Sweden,1993,78.2,,
Total population at birth,Years,Sweden,1994,78.9,,
Total population at birth,Years,Sweden,1995,79,,
Total population at birth,Years,Sweden,1996,79.2,,
Total population at birth,Years,Sweden,1997,79.4,,
Total population at birth,Years,Sweden,1998,79.5,,
Total population at birth,Years,Sweden,1999,79.6,,
Total population at birth,Years,Sweden,2000,79.7,,
Total population at birth,Years,Sweden,2001,79.9,,
Total population at birth,Years,Sweden,2002,79.9,,
Total population at birth,Years,Sweden,2003,80.3,,
Total population at birth,Years,Sweden,2004,80.6,,
Total population at birth,Years,Sweden,2005,80.7,,
Total population at birth,Years,Sweden,2006,81,,
Total population at birth,Years,Sweden,2007,81.1,,
Total population at birth,Years,Sweden,2008,81.3,,
Total population at birth,Years,Sweden,2009,81.5,,
Total population at birth,Years,Sweden,2010,81.6,,
Total population at birth,Years,Sweden,2011,81.9,,
Total population at birth,Years,Sweden,2012,81.8,,
Total population at birth,Years,Sweden,2013,82,,
Total population at birth,Years,Sweden,2014,82.3,,
Total population at birth,Years,Sweden,2015,82.3,,
Total population at birth,Years,Sweden,2016,82.4,,
Total population at birth,Years,Sweden,2017,82.5,,
Total population at birth,Years,Sweden,2018,82.6,,
Total population at birth,Years,Sweden,2019,83.2,,
Total population at birth,Years,Sweden,2020,82.5,,
Total population at birth,Years,Switzerland,1960,71.4,,
Total population at birth,Years,Switzerland,1961,71.8,,
Total population at birth,Years,Switzerland,1962,71.3,,
Total population at birth,Years,Switzerland,1963,71.3,,
Total population at birth,Years,Switzerland,1964,72.2,,
Total population at birth,Years,Switzerland,1965,72.3,,
Total population at birth,Years,Switzerland,1966,72.5,,
Total population at birth,Years,Switzerland,1967,72.8,,
Total population at birth,Years,Switzerland,1968,72.7,,
Total population at birth,Years,Switzerland,1969,72.7,,
Total population at birth,Years,Switzerland,1970,73.1,,
Total population at birth,Years,Switzerland,1971,73.3,,
Total population at birth,Years,Switzerland,1972,73.8,,
Total population at birth,Years,Switzerland,1973,74.1,,
Total population at birth,Years,Switzerland,1974,74.4,,
Total population at birth,Years,Switzerland,1975,74.8,,
Total population at birth,Years,Switzerland,1976,74.9,,
Total population at birth,Years,Switzerland,1977,75.4,,
Total population at birth,Years,Switzerland,1978,75.4,,
Total population at birth,Years,Switzerland,1979,75.7,,
Total population at birth,Years,Switzerland,1980,75.7,,
Total population at birth,Years,Switzerland,1981,75.9,,
Total population at birth,Years,Switzerland,1982,76.2,,
Total population at birth,Years,Switzerland,1983,76.2,,
Total population at birth,Years,Switzerland,1984,76.9,,
Total population at birth,Years,Switzerland,1985,77,,
Total population at birth,Years,Switzerland,1986,77.1,,
Total population at birth,Years,Switzerland,1987,77.5,,
Total population at birth,Years,Switzerland,1988,77.5,,
Total population at birth,Years,Switzerland,1989,77.7,,
Total population at birth,Years,Switzerland,1990,77.5,,
Total population at birth,Years,Switzerland,1991,77.8,,
Total population at birth,Years,Switzerland,1992,78.1,,
Total population at birth,Years,Switzerland,1993,78.4,,
Total population at birth,Years,Switzerland,1994,78.6,,
Total population at birth,Years,Switzerland,1995,78.7,,
Total population at birth,Years,Switzerland,1996,79.1,,
Total population at birth,Years,Switzerland,1997,79.3,,
Total population at birth,Years,Switzerland,1998,79.6,,
Total population at birth,Years,Switzerland,1999,79.8,,
Total population at birth,Years,Switzerland,2000,79.9,,
Total population at birth,Years,Switzerland,2001,80.4,,
Total population at birth,Years,Switzerland,2002,80.6,,
Total population at birth,Years,Switzerland,2003,80.6,,
Total population at birth,Years,Switzerland,2004,81.2,,
Total population at birth,Years,Switzerland,2005,81.4,,
Total population at birth,Years,Switzerland,2006,81.7,,
Total population at birth,Years,Switzerland,2007,82,,
Total population at birth,Years,Switzerland,2008,82.2,,
Total population at birth,Years,Switzerland,2009,82.3,,
Total population at birth,Years,Switzerland,2010,82.6,,
Total population at birth,Years,Switzerland,2011,82.8,B,Break
Total population at birth,Years,Switzerland,2012,82.8,,
Total population at birth,Years,Switzerland,2013,82.9,,
Total population at birth,Years,Switzerland,2014,83.3,,
Total population at birth,Years,Switzerland,2015,83,,
Total population at birth,Years,Switzerland,2016,83.7,,
Total population at birth,Years,Switzerland,2017,83.6,,
Total population at birth,Years,Switzerland,2018,83.8,,
Total population at birth,Years,Switzerland,2019,84,,
Total population at birth,Years,Switzerland,2020,83.2,,
Total population at birth,Years,Turkey,1960,48.3,,
Total population at birth,Years,Turkey,1961,49,,
Total population at birth,Years,Turkey,1962,49.7,,
Total population at birth,Years,Turkey,1963,50.3,,
Total population at birth,Years,Turkey,1964,51,,
Total population at birth,Years,Turkey,1965,51.6,,
Total population at birth,Years,Turkey,1966,52.2,,
Total population at birth,Years,Turkey,1967,52.9,,
Total population at birth,Years,Turkey,1968,53.4,,
Total population at birth,Years,Turkey,1969,53.8,,
Total population at birth,Years,Turkey,1970,54.2,,
Total population at birth,Years,Turkey,1971,54.6,,
Total population at birth,Years,Turkey,1972,55,,
Total population at birth,Years,Turkey,1973,55.4,,
Total population at birth,Years,Turkey,1974,55.7,,
Total population at birth,Years,Turkey,1975,56.1,,
Total population at birth,Years,Turkey,1976,56.5,,
Total population at birth,Years,Turkey,1977,56.9,,
Total population at birth,Years,Turkey,1978,57.3,,
Total population at birth,Years,Turkey,1979,57.7,,
Total population at birth,Years,Turkey,1980,58.1,,
Total population at birth,Years,Turkey,1981,58.5,,
Total population at birth,Years,Turkey,1982,58.9,,
Total population at birth,Years,Turkey,1983,59.7,,
Total population at birth,Years,Turkey,1984,60.9,,
Total population at birth,Years,Turkey,1985,62.1,,
Total population at birth,Years,Turkey,1986,63.2,,
Total population at birth,Years,Turkey,1987,64.4,,
Total population at birth,Years,Turkey,1988,65.2,,
Total population at birth,Years,Turkey,1989,65.7,,
Total population at birth,Years,Turkey,1990,67.5,B,Break
Total population at birth,Years,Turkey,1991,67.8,,
Total population at birth,Years,Turkey,1992,68.2,,
Total population at birth,Years,Turkey,1993,68.5,,
Total population at birth,Years,Turkey,1994,68.9,,
Total population at birth,Years,Turkey,1995,69.3,,
Total population at birth,Years,Turkey,1996,69.7,,
Total population at birth,Years,Turkey,1997,70.1,,
Total population at birth,Years,Turkey,1998,70.3,,
Total population at birth,Years,Turkey,1999,70.7,,
Total population at birth,Years,Turkey,2000,71.1,,
Total population at birth,Years,Turkey,2001,71.5,,
Total population at birth,Years,Turkey,2002,71.9,,
Total population at birth,Years,Turkey,2003,72.3,,
Total population at birth,Years,Turkey,2004,72.7,,
Total population at birth,Years,Turkey,2005,73.1,,
Total population at birth,Years,Turkey,2006,73.4,,
Total population at birth,Years,Turkey,2007,73.7,,
Total population at birth,Years,Turkey,2008,73.9,,
Total population at birth,Years,Turkey,2009,74.1,,
Total population at birth,Years,Turkey,2010,74.3,,
Total population at birth,Years,Turkey,2011,74.6,,
Total population at birth,Years,Turkey,2012,74.6,,
Total population at birth,Years,Turkey,2013,78,B,Break
Total population at birth,Years,Turkey,2014,78,,
Total population at birth,Years,Turkey,2015,78,,
Total population at birth,Years,Turkey,2016,78,,
Total population at birth,Years,Turkey,2017,78.1,,
Total population at birth,Years,Turkey,2018,78.3,,
Total population at birth,Years,Turkey,2019,78.6,,
Total population at birth,Years,United Kingdom,1960,70.8,,
Total population at birth,Years,United Kingdom,1961,70.7,,
Total population at birth,Years,United Kingdom,1970,71.9,,
Total population at birth,Years,United Kingdom,1971,71.9,,
Total population at birth,Years,United Kingdom,1980,73.2,,
Total population at birth,Years,United Kingdom,1981,73.8,,
Total population at birth,Years,United Kingdom,1982,74.1,,
Total population at birth,Years,United Kingdom,1983,74.3,,
Total population at birth,Years,United Kingdom,1984,74.5,,
Total population at birth,Years,United Kingdom,1985,74.7,,
Total population at birth,Years,United Kingdom,1986,74.8,,
Total population at birth,Years,United Kingdom,1987,75.2,,
Total population at birth,Years,United Kingdom,1988,75.3,,
Total population at birth,Years,United Kingdom,1989,75.4,,
Total population at birth,Years,United Kingdom,1990,75.7,,
Total population at birth,Years,United Kingdom,1991,75.9,,
Total population at birth,Years,United Kingdom,1992,76.3,,
Total population at birth,Years,United Kingdom,1993,76.2,,
Total population at birth,Years,United Kingdom,1994,76.8,,
Total population at birth,Years,United Kingdom,1995,76.7,,
Total population at birth,Years,United Kingdom,1996,76.9,,
Total population at birth,Years,United Kingdom,1997,77.2,,
Total population at birth,Years,United Kingdom,1998,77.3,,
Total population at birth,Years,United Kingdom,1999,77.5,,
Total population at birth,Years,United Kingdom,2000,77.9,,
Total population at birth,Years,United Kingdom,2001,78.2,,
Total population at birth,Years,United Kingdom,2002,78.3,,
Total population at birth,Years,United Kingdom,2003,78.4,,
Total population at birth,Years,United Kingdom,2004,79,,
Total population at birth,Years,United Kingdom,2005,79.2,,
Total population at birth,Years,United Kingdom,2006,79.5,,
Total population at birth,Years,United Kingdom,2007,79.7,,
Total population at birth,Years,United Kingdom,2008,79.8,,
Total population at birth,Years,United Kingdom,2009,80.4,,
Total population at birth,Years,United Kingdom,2010,80.6,,
Total population at birth,Years,United Kingdom,2011,81,,
Total population at birth,Years,United Kingdom,2012,81,,
Total population at birth,Years,United Kingdom,2013,81.1,,
Total population at birth,Years,United Kingdom,2014,81.4,,
Total population at birth,Years,United Kingdom,2015,81,,
Total population at birth,Years,United Kingdom,2016,81.2,,
Total population at birth,Years,United Kingdom,2017,81.3,,
Total population at birth,Years,United Kingdom,2018,81.3,,
Total population at birth,Years,United Kingdom,2019,81.4,,
Total population at birth,Years,United Kingdom,2020,80.4,P,Provisional value
Total population at birth,Years,United States,1960,69.9,,
Total population at birth,Years,United States,1961,70.4,,
Total population at birth,Years,United States,1962,70.2,,
Total population at birth,Years,United States,1963,70,,
Total population at birth,Years,United States,1964,70.3,,
Total population at birth,Years,United States,1965,70.3,,
Total population at birth,Years,United States,1966,70.3,,
Total population at birth,Years,United States,1967,70.7,,
Total population at birth,Years,United States,1968,70.4,,
Total population at birth,Years,United States,1969,70.6,,
Total population at birth,Years,United States,1970,70.9,,
Total population at birth,Years,United States,1971,71.2,,
Total population at birth,Years,United States,1972,71.3,,
Total population at birth,Years,United States,1973,71.5,,
Total population at birth,Years,United States,1974,72.1,,
Total population at birth,Years,United States,1975,72.7,,
Total population at birth,Years,United States,1976,73,,
Total population at birth,Years,United States,1977,73.4,,
Total population at birth,Years,United States,1978,73.5,,
Total population at birth,Years,United States,1979,73.9,,
Total population at birth,Years,United States,1980,73.7,,
Total population at birth,Years,United States,1981,74.1,,
Total population at birth,Years,United States,1982,74.5,,
Total population at birth,Years,United States,1983,74.6,,
Total population at birth,Years,United States,1984,74.7,,
Total population at birth,Years,United States,1985,74.7,,
Total population at birth,Years,United States,1986,74.7,,
Total population at birth,Years,United States,1987,74.9,,
Total population at birth,Years,United States,1988,74.9,,
Total population at birth,Years,United States,1989,75.1,,
Total population at birth,Years,United States,1990,75.3,,
Total population at birth,Years,United States,1991,75.5,,
Total population at birth,Years,United States,1992,75.7,,
Total population at birth,Years,United States,1993,75.5,,
Total population at birth,Years,United States,1994,75.7,,
Total population at birth,Years,United States,1995,75.7,,
Total population at birth,Years,United States,1996,76.1,,
Total population at birth,Years,United States,1997,76.5,,
Total population at birth,Years,United States,1998,76.7,,
Total population at birth,Years,United States,1999,76.7,,
Total population at birth,Years,United States,2000,76.7,,
Total population at birth,Years,United States,2001,76.9,,
Total population at birth,Years,United States,2002,77,,
Total population at birth,Years,United States,2003,77.1,,
Total population at birth,Years,United States,2004,77.6,,
Total population at birth,Years,United States,2005,77.6,,
Total population at birth,Years,United States,2006,77.8,,
Total population at birth,Years,United States,2007,78.1,,
Total population at birth,Years,United States,2008,78.1,,
Total population at birth,Years,United States,2009,78.5,,
Total population at birth,Years,United States,2010,78.6,,
Total population at birth,Years,United States,2011,78.7,,
Total population at birth,Years,United States,2012,78.8,,
Total population at birth,Years,United States,2013,78.8,,
Total population at birth,Years,United States,2014,78.9,,
Total population at birth,Years,United States,2015,78.7,,
Total population at birth,Years,United States,2016,78.7,,
Total population at birth,Years,United States,2017,78.6,,
Total population at birth,Years,United States,2018,78.7,,
Total population at birth,Years,United States,2019,78.9,,
Total population at birth,Years,United States,2020,77.3,P,Provisional value
Total population at birth,Years,Brazil,1960,54.2,,
Total population at birth,Years,Brazil,1961,54.7,,
Total population at birth,Years,Brazil,1962,55.2,,
Total population at birth,Years,Brazil,1963,55.7,,
Total population at birth,Years,Brazil,1964,56.2,,
Total population at birth,Years,Brazil,1965,56.7,,
Total population at birth,Years,Brazil,1966,57.1,,
Total population at birth,Years,Brazil,1967,57.6,,
Total population at birth,Years,Brazil,1968,58.1,,
Total population at birth,Years,Brazil,1969,58.5,,
Total population at birth,Years,Brazil,1970,59,,
Total population at birth,Years,Brazil,1971,59.4,,
Total population at birth,Years,Brazil,1972,59.8,,
Total population at birth,Years,Brazil,1973,60.2,,
Total population at birth,Years,Brazil,1974,60.6,,
Total population at birth,Years,Brazil,1975,60.9,,
Total population at birth,Years,Brazil,1976,61.3,,
Total population at birth,Years,Brazil,1977,61.7,,
Total population at birth,Years,Brazil,1978,62,,
Total population at birth,Years,Brazil,1979,62.4,,
Total population at birth,Years,Brazil,1980,62.7,,
Total population at birth,Years,Brazil,1981,63.1,,
Total population at birth,Years,Brazil,1982,63.4,,
Total population at birth,Years,Brazil,1983,63.8,,
Total population at birth,Years,Brazil,1984,64.1,,
Total population at birth,Years,Brazil,1985,64.5,,
Total population at birth,Years,Brazil,1986,64.9,,
Total population at birth,Years,Brazil,1987,65.3,,
Total population at birth,Years,Brazil,1988,65.7,,
Total population at birth,Years,Brazil,1989,66,,
Total population at birth,Years,Brazil,1990,66.4,,
Total population at birth,Years,Brazil,1991,66.8,,
Total population at birth,Years,Brazil,1992,67.2,,
Total population at birth,Years,Brazil,1993,67.6,,
Total population at birth,Years,Brazil,1994,68,,
Total population at birth,Years,Brazil,1995,68.4,,
Total population at birth,Years,Brazil,1996,68.8,,
Total population at birth,Years,Brazil,1997,69.2,,
Total population at birth,Years,Brazil,1998,69.5,,
Total population at birth,Years,Brazil,1999,69.9,,
Total population at birth,Years,Brazil,2000,70.2,,
Total population at birth,Years,Brazil,2001,70.6,,
Total population at birth,Years,Brazil,2002,70.9,,
Total population at birth,Years,Brazil,2003,71.3,,
Total population at birth,Years,Brazil,2004,71.6,,
Total population at birth,Years,Brazil,2005,72,,
Total population at birth,Years,Brazil,2006,72.3,,
Total population at birth,Years,Brazil,2007,72.7,,
Total population at birth,Years,Brazil,2008,73,,
Total population at birth,Years,Brazil,2009,73.4,,
Total population at birth,Years,Brazil,2010,73.7,,
Total population at birth,Years,Brazil,2011,74,,
Total population at birth,Years,Brazil,2012,74.2,,
Total population at birth,Years,Brazil,2013,74.5,,
Total population at birth,Years,Brazil,2014,74.8,,
