variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Germany,1961,69.7,,
Total population at birth,Years,Germany,1962,69.9,,
Total population at birth,Years,Germany,1963,70,,
Total population at birth,Years,Germany,1964,70.6,,
Total population at birth,Years,Germany,1965,70.5,,
Total population at birth,Years,Germany,1966,70.6,,
Total population at birth,Years,Germany,1967,70.9,,
Total population at birth,Years,Germany,1968,70.5,,
Total population at birth,Years,Germany,1969,70.3,,
Total population at birth,Years,Germany,1970,70.6,,
Total population at birth,Years,Germany,1971,70.8,,
Total population at birth,Years,Germany,1972,71,,
Total population at birth,Years,Germany,1973,71.3,,
Total population at birth,Years,Germany,1974,71.5,,
Total population at birth,Years,Germany,1975,71.4,,
Total population at birth,Years,Germany,1976,71.8,,
Total population at birth,Years,Germany,1977,72.5,,
Total population at birth,Years,Germany,1978,72.4,,
Total population at birth,Years,Germany,1979,72.8,,
Total population at birth,Years,Germany,1980,72.9,,
Total population at birth,Years,Germany,1981,73.2,,
Total population at birth,Years,Germany,1982,73.5,,
Total population at birth,Years,Germany,1983,73.8,,
Total population at birth,Years,Germany,1984,74.3,,
Total population at birth,Years,Germany,1985,74.9,,
Total population at birth,Years,Germany,1986,75.1,,
Total population at birth,Years,Germany,1987,75.6,,
Total population at birth,Years,Germany,1988,75.8,,
Total population at birth,Years,Germany,1989,75.9,,
Total population at birth,Years,Germany,1990,77.2,,
Total population at birth,Years,Germany,1991,75.5,B,Break
Total population at birth,Years,Germany,1992,76,,
Total population at birth,Years,Germany,1993,76.1,,
Total population at birth,Years,Germany,1994,76.4,,
Total population at birth,Years,Germany,1995,76.6,,
Total population at birth,Years,Germany,1996,76.9,,
Total population at birth,Years,Germany,1997,77.3,,
Total population at birth,Years,Germany,1998,77.7,,
Total population at birth,Years,Germany,1999,77.9,,
Total population at birth,Years,Germany,2000,78.2,,
Total population at birth,Years,Germany,2001,78.5,,
Total population at birth,Years,Germany,2002,78.5,,
Total population at birth,Years,Germany,2003,78.6,,
Total population at birth,Years,Germany,2004,79.2,,
Total population at birth,Years,Germany,2005,79.4,,
Total population at birth,Years,Germany,2006,79.8,,
Total population at birth,Years,Germany,2007,80.1,,
Total population at birth,Years,Germany,2008,80.2,,
Total population at birth,Years,Germany,2009,80.3,,
Total population at birth,Years,Germany,2010,80.5,,
Total population at birth,Years,Germany,2011,80.5,,
Total population at birth,Years,Germany,2012,80.6,,
Total population at birth,Years,Germany,2013,80.6,,
Total population at birth,Years,Germany,2014,81.2,,
Total population at birth,Years,Germany,2015,80.7,,
